date,commodity,market,state,variety,min_price,max_price,modal_price,avg_price
2023-03-20,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5062,5825,5444,5605
2023-03-21,Wheat,Azadpur Mandi,Delhi,HD-2967,2124,2444,2284,2403
2023-03-21,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3054,3514,3284,3204
2023-03-21,Cotton,Adilabad APMC,Telangana,Bt Cotton,6647,7648,7147,6808
2023-03-21,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4343,4997,4670,4505
2023-03-21,Groundnut,Rajkot Market,Gujarat,GG-20,4838,5567,5202,5206
2023-03-21,Maize,Nizamabad APMC,Telangana,DHM-117,1784,2053,1918,1902
2023-03-21,Turmeric,Nizamabad Market,Telangana,Rajapuri,7002,8057,7530,7509
2023-03-21,Chilli,Guntur APMC,Andhra Pradesh,S-334,7999,9203,8601,8209
2023-03-21,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1948,2241,2095,2102
2023-03-21,Tomato,Kolar Market,Karnataka,Hybrid,1593,1833,1713,1802
2023-03-21,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1270,1461,1366,1402
2023-03-21,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5329,6131,5730,5606
2023-03-22,Wheat,Azadpur Mandi,Delhi,HD-2967,2262,2603,2432,2404
2023-03-22,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3058,3518,3288,3205
2023-03-22,Cotton,Adilabad APMC,Telangana,Bt Cotton,6332,7286,6809,6810
2023-03-22,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4199,4831,4515,4507
2023-03-22,Groundnut,Rajkot Market,Gujarat,GG-20,4914,5653,5283,5208
2023-03-22,Maize,Nizamabad APMC,Telangana,DHM-117,1788,2057,1923,1903
2023-03-22,Turmeric,Nizamabad Market,Telangana,Rajapuri,6902,7942,7422,7511
2023-03-22,Chilli,Guntur APMC,Andhra Pradesh,S-334,7337,8442,7889,8212
2023-03-22,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1867,2148,2008,2103
2023-03-22,Tomato,Kolar Market,Karnataka,Hybrid,1697,1952,1824,1803
2023-03-22,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1256,1445,1350,1402
2023-03-22,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5019,5774,5397,5608
2023-03-23,Wheat,Azadpur Mandi,Delhi,HD-2967,2135,2457,2296,2404
2023-03-23,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3128,3599,3364,3206
2023-03-23,Cotton,Adilabad APMC,Telangana,Bt Cotton,6190,7121,6656,6812
2023-03-23,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4100,4718,4409,4508
2023-03-23,Groundnut,Rajkot Market,Gujarat,GG-20,4706,5414,5060,5209
2023-03-23,Maize,Nizamabad APMC,Telangana,DHM-117,1711,1969,1840,1903
2023-03-23,Turmeric,Nizamabad Market,Telangana,Rajapuri,7034,8093,7564,7514
2023-03-23,Chilli,Guntur APMC,Andhra Pradesh,S-334,7540,8675,8107,8215
2023-03-23,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1997,2298,2147,2104
2023-03-23,Tomato,Kolar Market,Karnataka,Hybrid,1608,1850,1729,1803
2023-03-23,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1281,1473,1377,1403
2023-03-23,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5051,5811,5431,5610
2023-03-24,Wheat,Azadpur Mandi,Delhi,HD-2967,2127,2448,2287,2405
2023-03-24,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2938,3380,3159,3207
2023-03-24,Cotton,Adilabad APMC,Telangana,Bt Cotton,6489,7465,6977,6815
2023-03-24,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4003,4605,4304,4510
2023-03-24,Groundnut,Rajkot Market,Gujarat,GG-20,4626,5322,4974,5211
2023-03-24,Maize,Nizamabad APMC,Telangana,DHM-117,1691,1946,1819,1904
2023-03-24,Turmeric,Nizamabad Market,Telangana,Rajapuri,6824,7851,7338,7516
2023-03-24,Chilli,Guntur APMC,Andhra Pradesh,S-334,7826,9004,8415,8218
2023-03-24,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1982,2280,2131,2104
2023-03-24,Tomato,Kolar Market,Karnataka,Hybrid,1630,1875,1752,1804
2023-03-24,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1336,1537,1437,1403
2023-03-24,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5232,6020,5626,5612
2023-03-25,Wheat,Azadpur Mandi,Delhi,HD-2967,2209,2542,2375,2406
2023-03-25,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2925,3366,3146,3208
2023-03-25,Cotton,Adilabad APMC,Telangana,Bt Cotton,6464,7437,6951,6817
2023-03-25,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4016,4620,4318,4511
2023-03-25,Groundnut,Rajkot Market,Gujarat,GG-20,4706,5414,5060,5213
2023-03-25,Maize,Nizamabad APMC,Telangana,DHM-117,1697,1952,1825,1905
2023-03-25,Turmeric,Nizamabad Market,Telangana,Rajapuri,6690,7697,7194,7518
2023-03-25,Chilli,Guntur APMC,Andhra Pradesh,S-334,7773,8943,8358,8220
2023-03-25,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2015,2319,2167,2105
2023-03-25,Tomato,Kolar Market,Karnataka,Hybrid,1687,1941,1814,1804
2023-03-25,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1271,1462,1366,1403
2023-03-25,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5421,6237,5829,5614
2023-03-26,Wheat,Azadpur Mandi,Delhi,HD-2967,2301,2647,2474,2407
2023-03-26,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2885,3319,3102,3209
2023-03-26,Cotton,Adilabad APMC,Telangana,Bt Cotton,6276,7221,6748,6819
2023-03-26,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4156,4782,4469,4513
2023-03-26,Groundnut,Rajkot Market,Gujarat,GG-20,4693,5399,5046,5215
2023-03-26,Maize,Nizamabad APMC,Telangana,DHM-117,1770,2037,1903,1905
2023-03-26,Turmeric,Nizamabad Market,Telangana,Rajapuri,7234,8323,7779,7521
2023-03-26,Chilli,Guntur APMC,Andhra Pradesh,S-334,7949,9146,8547,8223
2023-03-26,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1906,2193,2049,2106
2023-03-26,Tomato,Kolar Market,Karnataka,Hybrid,1730,1991,1861,1805
2023-03-26,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1348,1551,1449,1404
2023-03-26,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5357,6163,5760,5616
2023-03-27,Wheat,Azadpur Mandi,Delhi,HD-2967,2328,2679,2503,2407
2023-03-27,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3050,3509,3280,3210
2023-03-27,Cotton,Adilabad APMC,Telangana,Bt Cotton,6168,7097,6632,6821
2023-03-27,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4398,5060,4729,4514
2023-03-27,Groundnut,Rajkot Market,Gujarat,GG-20,5058,5819,5438,5216
2023-03-27,Maize,Nizamabad APMC,Telangana,DHM-117,1781,2050,1916,1906
2023-03-27,Turmeric,Nizamabad Market,Telangana,Rajapuri,6814,7839,7327,7523
2023-03-27,Chilli,Guntur APMC,Andhra Pradesh,S-334,7927,9120,8524,8226
2023-03-27,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1941,2233,2087,2107
2023-03-27,Tomato,Kolar Market,Karnataka,Hybrid,1754,2018,1886,1806
2023-03-27,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1272,1464,1368,1404
2023-03-27,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5138,5912,5525,5617
2023-03-28,Wheat,Azadpur Mandi,Delhi,HD-2967,2147,2470,2309,2408
2023-03-28,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3025,3480,3253,3211
2023-03-28,Cotton,Adilabad APMC,Telangana,Bt Cotton,6032,6940,6486,6823
2023-03-28,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4266,4908,4587,4516
2023-03-28,Groundnut,Rajkot Market,Gujarat,GG-20,4934,5676,5305,5218
2023-03-28,Maize,Nizamabad APMC,Telangana,DHM-117,1853,2132,1992,1907
2023-03-28,Turmeric,Nizamabad Market,Telangana,Rajapuri,7002,8057,7530,7526
2023-03-28,Chilli,Guntur APMC,Andhra Pradesh,S-334,7882,9068,8475,8228
2023-03-28,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1912,2200,2056,2107
2023-03-28,Tomato,Kolar Market,Karnataka,Hybrid,1701,1958,1830,1806
2023-03-28,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1341,1543,1442,1405
2023-03-28,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5400,6213,5807,5619
2023-03-29,Wheat,Azadpur Mandi,Delhi,HD-2967,2269,2611,2440,2409
2023-03-29,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2979,3428,3204,3212
2023-03-29,Cotton,Adilabad APMC,Telangana,Bt Cotton,6144,7069,6607,6826
2023-03-29,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4007,4610,4308,4517
2023-03-29,Groundnut,Rajkot Market,Gujarat,GG-20,4764,5481,5122,5220
2023-03-29,Maize,Nizamabad APMC,Telangana,DHM-117,1724,1984,1854,1907
2023-03-29,Turmeric,Nizamabad Market,Telangana,Rajapuri,6712,7723,7217,7528
2023-03-29,Chilli,Guntur APMC,Andhra Pradesh,S-334,7557,8695,8126,8231
2023-03-29,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1915,2204,2059,2108
2023-03-29,Tomato,Kolar Market,Karnataka,Hybrid,1754,2018,1886,1807
2023-03-29,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1329,1529,1429,1405
2023-03-29,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5301,6098,5700,5621
2023-03-30,Wheat,Azadpur Mandi,Delhi,HD-2967,2183,2512,2347,2410
2023-03-30,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2976,3424,3200,3213
2023-03-30,Cotton,Adilabad APMC,Telangana,Bt Cotton,6140,7064,6602,6828
2023-03-30,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4312,4961,4636,4518
2023-03-30,Groundnut,Rajkot Market,Gujarat,GG-20,4752,5467,5109,5221
2023-03-30,Maize,Nizamabad APMC,Telangana,DHM-117,1845,2123,1984,1908
2023-03-30,Turmeric,Nizamabad Market,Telangana,Rajapuri,7117,8189,7653,7531
2023-03-30,Chilli,Guntur APMC,Andhra Pradesh,S-334,7667,8821,8244,8234
2023-03-30,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1873,2155,2014,2109
2023-03-30,Tomato,Kolar Market,Karnataka,Hybrid,1754,2018,1886,1807
2023-03-30,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1344,1547,1446,1406
2023-03-30,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,4982,5732,5357,5623
2023-03-31,Wheat,Azadpur Mandi,Delhi,HD-2967,2224,2559,2392,2411
2023-03-31,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2940,3383,3162,3214
2023-03-31,Cotton,Adilabad APMC,Telangana,Bt Cotton,6630,7628,7129,6830
2023-03-31,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4019,4624,4322,4520
2023-03-31,Groundnut,Rajkot Market,Gujarat,GG-20,5073,5837,5455,5223
2023-03-31,Maize,Nizamabad APMC,Telangana,DHM-117,1800,2071,1935,1908
2023-03-31,Turmeric,Nizamabad Market,Telangana,Rajapuri,6838,7867,7353,7533
2023-03-31,Chilli,Guntur APMC,Andhra Pradesh,S-334,7572,8711,8141,8236
2023-03-31,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1885,2168,2027,2109
2023-03-31,Tomato,Kolar Market,Karnataka,Hybrid,1732,1992,1862,1808
2023-03-31,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1368,1574,1471,1406
2023-03-31,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5353,6159,5756,5625
2023-04-01,Wheat,Azadpur Mandi,Delhi,HD-2967,2211,2544,2378,2411
2023-04-01,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3039,3497,3268,3215
2023-04-01,Cotton,Adilabad APMC,Telangana,Bt Cotton,6642,7642,7142,6832
2023-04-01,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4221,4856,4538,4521
2023-04-01,Groundnut,Rajkot Market,Gujarat,GG-20,4834,5562,5198,5225
2023-04-01,Maize,Nizamabad APMC,Telangana,DHM-117,1689,1943,1816,1909
2023-04-01,Turmeric,Nizamabad Market,Telangana,Rajapuri,7002,8056,7529,7536
2023-04-01,Chilli,Guntur APMC,Andhra Pradesh,S-334,8026,9234,8630,8239
2023-04-01,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1916,2204,2060,2110
2023-04-01,Tomato,Kolar Market,Karnataka,Hybrid,1662,1912,1787,1809
2023-04-01,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1280,1472,1376,1407
2023-04-01,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5318,6119,5718,5627
2023-04-02,Wheat,Azadpur Mandi,Delhi,HD-2967,2210,2543,2377,2412
2023-04-02,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2978,3426,3202,3216
2023-04-02,Cotton,Adilabad APMC,Telangana,Bt Cotton,6230,7167,6699,6835
2023-04-02,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4352,5007,4679,4523
2023-04-02,Groundnut,Rajkot Market,Gujarat,GG-20,4960,5707,5334,5226
2023-04-02,Maize,Nizamabad APMC,Telangana,DHM-117,1852,2130,1991,1910
2023-04-02,Turmeric,Nizamabad Market,Telangana,Rajapuri,6893,7931,7412,7538
2023-04-02,Chilli,Guntur APMC,Andhra Pradesh,S-334,7538,8672,8105,8242
2023-04-02,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1917,2205,2061,2111
2023-04-02,Tomato,Kolar Market,Karnataka,Hybrid,1729,1989,1859,1809
2023-04-02,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1334,1535,1435,1407
2023-04-02,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,4989,5741,5365,5629
2023-04-03,Wheat,Azadpur Mandi,Delhi,HD-2967,2284,2628,2456,2413
2023-04-03,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2933,3375,3154,3217
2023-04-03,Cotton,Adilabad APMC,Telangana,Bt Cotton,6321,7273,6797,6837
2023-04-03,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4072,4685,4378,4524
2023-04-03,Groundnut,Rajkot Market,Gujarat,GG-20,5029,5786,5408,5228
2023-04-03,Maize,Nizamabad APMC,Telangana,DHM-117,1848,2126,1987,1910
2023-04-03,Turmeric,Nizamabad Market,Telangana,Rajapuri,7139,8214,7677,7541
2023-04-03,Chilli,Guntur APMC,Andhra Pradesh,S-334,7970,9170,8570,8244
2023-04-03,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2039,2345,2192,2111
2023-04-03,Tomato,Kolar Market,Karnataka,Hybrid,1717,1976,1847,1810
2023-04-03,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1296,1491,1394,1408
2023-04-03,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5435,6253,5844,5630
2023-04-04,Wheat,Azadpur Mandi,Delhi,HD-2967,2192,2522,2357,2414
2023-04-04,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3128,3599,3364,3218
2023-04-04,Cotton,Adilabad APMC,Telangana,Bt Cotton,6537,7521,7029,6839
2023-04-04,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4338,4991,4664,4526
2023-04-04,Groundnut,Rajkot Market,Gujarat,GG-20,4811,5535,5173,5230
2023-04-04,Maize,Nizamabad APMC,Telangana,DHM-117,1729,1989,1859,1911
2023-04-04,Turmeric,Nizamabad Market,Telangana,Rajapuri,6804,7828,7316,7543
2023-04-04,Chilli,Guntur APMC,Andhra Pradesh,S-334,7919,9111,8515,8247
2023-04-04,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2002,2303,2153,2112
2023-04-04,Tomato,Kolar Market,Karnataka,Hybrid,1740,2002,1871,1810
2023-04-04,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1358,1563,1461,1408
2023-04-04,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5137,5911,5524,5632
2023-04-05,Wheat,Azadpur Mandi,Delhi,HD-2967,2193,2523,2358,2415
2023-04-05,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3095,3560,3328,3219
2023-04-05,Cotton,Adilabad APMC,Telangana,Bt Cotton,6614,7610,7112,6841
2023-04-05,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4150,4775,4463,4527
2023-04-05,Groundnut,Rajkot Market,Gujarat,GG-20,5024,5781,5402,5232
2023-04-05,Maize,Nizamabad APMC,Telangana,DHM-117,1830,2105,1967,1912
2023-04-05,Turmeric,Nizamabad Market,Telangana,Rajapuri,7220,8307,7763,7546
2023-04-05,Chilli,Guntur APMC,Andhra Pradesh,S-334,7917,9109,8513,8250
2023-04-05,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2011,2313,2162,2113
2023-04-05,Tomato,Kolar Market,Karnataka,Hybrid,1663,1913,1788,1811
2023-04-05,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1301,1496,1398,1409
2023-04-05,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5448,6269,5858,5634
2023-04-06,Wheat,Azadpur Mandi,Delhi,HD-2967,2157,2482,2319,2415
2023-04-06,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3108,3576,3342,3221
2023-04-06,Cotton,Adilabad APMC,Telangana,Bt Cotton,6300,7248,6774,6844
2023-04-06,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4306,4954,4630,4529
2023-04-06,Groundnut,Rajkot Market,Gujarat,GG-20,5045,5805,5425,5233
2023-04-06,Maize,Nizamabad APMC,Telangana,DHM-117,1721,1980,1851,1912
2023-04-06,Turmeric,Nizamabad Market,Telangana,Rajapuri,6790,7812,7301,7548
2023-04-06,Chilli,Guntur APMC,Andhra Pradesh,S-334,7869,9054,8461,8253
2023-04-06,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2009,2311,2160,2113
2023-04-06,Tomato,Kolar Market,Karnataka,Hybrid,1644,1891,1767,1812
2023-04-06,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1299,1495,1397,1409
2023-04-06,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5381,6191,5786,5636
2023-04-07,Wheat,Azadpur Mandi,Delhi,HD-2967,2339,2691,2515,2416
2023-04-07,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3003,3455,3229,3222
2023-04-07,Cotton,Adilabad APMC,Telangana,Bt Cotton,6134,7057,6595,6846
2023-04-07,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4031,4638,4335,4530
2023-04-07,Groundnut,Rajkot Market,Gujarat,GG-20,4626,5322,4974,5235
2023-04-07,Maize,Nizamabad APMC,Telangana,DHM-117,1730,1991,1861,1913
2023-04-07,Turmeric,Nizamabad Market,Telangana,Rajapuri,6672,7677,7175,7551
2023-04-07,Chilli,Guntur APMC,Andhra Pradesh,S-334,7629,8778,8204,8255
2023-04-07,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2054,2363,2209,2114
2023-04-07,Tomato,Kolar Market,Karnataka,Hybrid,1676,1929,1803,1812
2023-04-07,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1251,1440,1345,1409
2023-04-07,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5274,6068,5671,5638
2023-04-08,Wheat,Azadpur Mandi,Delhi,HD-2967,2196,2526,2361,2417
2023-04-08,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3137,3610,3374,3223
2023-04-08,Cotton,Adilabad APMC,Telangana,Bt Cotton,6199,7132,6665,6848
2023-04-08,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4401,5063,4732,4532
2023-04-08,Groundnut,Rajkot Market,Gujarat,GG-20,4802,5525,5164,5237
2023-04-08,Maize,Nizamabad APMC,Telangana,DHM-117,1761,2027,1894,1913
2023-04-08,Turmeric,Nizamabad Market,Telangana,Rajapuri,6851,7882,7367,7553
2023-04-08,Chilli,Guntur APMC,Andhra Pradesh,S-334,7486,8613,8049,8258
2023-04-08,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1934,2225,2079,2115
2023-04-08,Tomato,Kolar Market,Karnataka,Hybrid,1746,2009,1878,1813
2023-04-08,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1285,1479,1382,1410
2023-04-08,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5381,6191,5786,5640
2023-04-09,Wheat,Azadpur Mandi,Delhi,HD-2967,2273,2615,2444,2418
2023-04-09,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3067,3528,3298,3224
2023-04-09,Cotton,Adilabad APMC,Telangana,Bt Cotton,6306,7256,6781,6850
2023-04-09,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4053,4663,4358,4533
2023-04-09,Groundnut,Rajkot Market,Gujarat,GG-20,4985,5735,5360,5238
2023-04-09,Maize,Nizamabad APMC,Telangana,DHM-117,1779,2046,1913,1914
2023-04-09,Turmeric,Nizamabad Market,Telangana,Rajapuri,6859,7891,7375,7555
2023-04-09,Chilli,Guntur APMC,Andhra Pradesh,S-334,7619,8765,8192,8261
2023-04-09,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2001,2302,2151,2116
2023-04-09,Tomato,Kolar Market,Karnataka,Hybrid,1675,1927,1801,1813
2023-04-09,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1253,1442,1348,1410
2023-04-09,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5188,5969,5579,5641
2023-04-10,Wheat,Azadpur Mandi,Delhi,HD-2967,2286,2630,2458,2419
2023-04-10,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3038,3495,3267,3225
2023-04-10,Cotton,Adilabad APMC,Telangana,Bt Cotton,6107,7027,6567,6853
2023-04-10,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4414,5079,4746,4535
2023-04-10,Groundnut,Rajkot Market,Gujarat,GG-20,4752,5467,5109,5240
2023-04-10,Maize,Nizamabad APMC,Telangana,DHM-117,1809,2081,1945,1915
2023-04-10,Turmeric,Nizamabad Market,Telangana,Rajapuri,7147,8223,7685,7558
2023-04-10,Chilli,Guntur APMC,Andhra Pradesh,S-334,7979,9180,8580,8263
2023-04-10,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1961,2256,2108,2116
2023-04-10,Tomato,Kolar Market,Karnataka,Hybrid,1719,1978,1849,1814
2023-04-10,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1287,1481,1384,1411
2023-04-10,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5498,6326,5912,5643
2023-04-11,Wheat,Azadpur Mandi,Delhi,HD-2967,2140,2462,2301,2419
2023-04-11,Rice,Guntur Market,Andhra Pradesh,BPT-5204,2904,3341,3122,3226
2023-04-11,Cotton,Adilabad APMC,Telangana,Bt Cotton,6335,7289,6812,6855
2023-04-11,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4026,4632,4329,4536
2023-04-11,Groundnut,Rajkot Market,Gujarat,GG-20,4896,5633,5265,5242
2023-04-11,Maize,Nizamabad APMC,Telangana,DHM-117,1860,2140,2000,1915
2023-04-11,Turmeric,Nizamabad Market,Telangana,Rajapuri,6710,7720,7215,7560
2023-04-11,Chilli,Guntur APMC,Andhra Pradesh,S-334,7585,8727,8156,8266
2023-04-11,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1990,2290,2140,2117
2023-04-11,Tomato,Kolar Market,Karnataka,Hybrid,1640,1887,1763,1814
2023-04-11,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1377,1585,1481,1411
2023-04-11,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5440,6259,5849,5645
2023-04-12,Wheat,Azadpur Mandi,Delhi,HD-2967,2338,2690,2514,2420
